agenda,dkod,nazev,metodika
18,D18.2,Počet živnostenských oprávnění,"K 31.12. sledovaného roku (pokud nemáte k dispozici statistiku k tomuto datu, využijte aktuální nebo údaje z vaší evidence mimo systém RŽP). Zdroj dat: Statistika. Název reportu: ŽO podle druhu a typu subjektu. Informace ke zpracování reportu: Součet hodnot sloupce „Celkem“ výsledné statistiky."
18,D18.3.1,"Počet podnikatelů, kterým vzniklo ve sledovaném roce nové živnostenské oprávnění","Za období sledovaného roku. Zdroj dat: Sestava. Název reportu: Podnikatelé. Informace ke zpracování reportu: Počet záznamů výsledné sestavy. Při definici reportu je nutno zvolit časové období Vzniku živnosti, zvolit Status živnosti na hodnotu „všechny“ a ostatní pole ponechat bez změny. Do roku 2007 byly vyplňovány Počty nově vydaných průkazů ŽO."
18,D18.3.2,Počet vydaných výpisů ze ŽR jako průkazů živnostenských oprávnění,Za období sledovaného roku. Zdroj dat: Statistika. Název reportu: Dokumenty dle subjektu. Informace ke zpracování reportu: Součet hodnot sloupce „Celkem“ u typu dokumentů 1020. Při definici reportu je nutno zvolit časové období (pole Datum od a Datum do). Údaje ze statistiky vyjadřují počty úkonů ŽÚ bez ohledu na místní příslušnost podnikatele. Do roku 2007 byly vyplňovány Počty změn průkazů ŽO (tzn. od roku 2008 není sledován totožný údaj).
18,D18.3.3,Počet výpisů a potvrzení ze živnostenského rejstříku,"Za období sledovaného roku. Zdroj dat: Statistika. Název reportu: Dokumenty dle subjektu. Informace ke zpracování reportu: Součet hodnot sloupce „Celkem“ dokumentů 4000, 4005 a 4006. Při definici reportu je nutno zvolit časové období (pole Datum od a Datum do). Údaje ze statistiky vyjadřují počty úkonů ŽÚ bez ohledu na místní příslušnost podnikatele. Sledováno od roku 2008, za roky 2003 - 2007 byly automaticky doplněny nuly."
18,D18.3.4,Počet vyrozumění o přerušení a pokračování v provozování živnosti,Za období sledovaného roku. Zdroj dat: Statistika. Název reportu: Dokumenty dle subjektu. Informace ke zpracování reportu: Součet hodnot sloupce „Celkem“ u typu dokumentů 3006 a 3007. Při definici reportu je nutno zvolit časové období (pole Datum od a Datum do). Údaje ze statistiky vyjadřují počty úkonů ŽÚ bez ohledu na místní příslušnost podnikatele. Jedním vyrozuměním lze současně přerušit více živností.
18,D18.3.5,Počet rozhodnutí o zrušení živnostenského oprávnění,"Za období sledovaného roku. Zdroj dat: Statistika. Název reportu: Dokumenty dle subjektu. Informace ke zpracování reportu: Součet hodnot sloupce „Celkem“ u typu dokumentů 2013, 2041 a 2073. Při definici reportu je nutno zvolit časové období (pole Datum od a Datum do). Údaje ze statistiky vyjadřují počty úkonů ŽÚ bez ohledu na místní příslušnost podnikatele. Jedním rozhodnutím lze současně zrušit více živností."
18,D18.3.5.1,z toho sankčních,"Za období sledovaného roku. Zdroj dat: Statistika. Název reportu: Dokumenty dle subjektu. Informace ke zpracování reportu: Hodnota sloupce „Celkem“ u typu dokumentu 2041. Při definici reportu je nutno zvolit časové období (pole Datum od a Datum do). Údaje ze statistiky vyjadřují počty úkonů ŽÚ bez ohledu na místní příslušnost podnikatele. Sledováno od roku 2008, za roky 2003 - 2007 byly automaticky doplněny nuly."
18,D18.3.6,"Počet vyrozumění o zápisu provozovny, změn do živnostenského rejstříku a míst pro vypořádání závazků po ukončení provozovny","Za období sledovaného roku. Zdroj dat: Statistika. Název reportu: Dokumenty dle subjektu. Informace ke zpracování reportu: Hodnota sloupce „Celkem“ u typu dokumentu 3002, 3003 a 3009. Při definici reportu je nutno zvolit časové období (pole Datum od a Datum do). Údaje ze statistiky vyjadřují počty úkonů ŽÚ bez ohledu na místní příslušnost podnikatele."
18,D18.3.7,Počet rozhodnutí o pozastavení živnostenského oprávnění,"Za období sledovaného roku. Zdroj dat: Statistika. Název reportu: Dokumenty dle subjektu. Informace ke zpracování reportu: Součet hodnot sloupce „Celkem“ u typu dokumentu 2004. Při definici reportu je nutno zvolit časové období (pole Datum od a Datum do). Sledováno od roku 2008, za roky 2003 - 2007 byly automaticky doplněny nuly."
18,D18.3.8,Počet podnětů celkem,"Za období sledovaného roku. Zdroj dat: Statistika. Název reportu: Statistika činnosti ŽÚ - Podněty - var.2. Informace ke zpracování reportu: Při definici reportu je nutno zvolit začátek a konec časového období - pro začátek stačí zadat ""Rok od"" a ""Měsíc od"", pro konec období opět jen ""Rok do"" a ""Měsíc do"". Typ podnětu - odškrtnout položku ""Servis podnikatele"". Kategorie zdroje informace - odškrtnout ""Jiný zdroj"". Ostatní pole ponechat beze změny."
18,D18.3.8.1,Počet podnětů cizích subjektů,"Za období sledovaného roku. Zdroj dat: Sestava. Název reportu: Podněty cizích subjektů. Informace ke zpracování reportu: Při definici reportu je nutno zvolit časové období (pole Datum od a Datum do). Z dalších údajů zaškrtnout ""číslo případu (podnětu)"". U výsledné sestavy sečíst počet řádků ve sloupci ""číslo případu (podnětu)""."
18,D18.3.9,Počet avíz a usnesení,"Za období sledovaného roku. Pro avíza: Zdroj dat: Statistika. Název reportu : Statistika činnosti ŽÚ - Avíza - var.2. Informace ke zpracování reportu: Při definici reportu je nutno zvolit začátek a konec časového období - pro začátek stačí zadat ""Rok od"" a ""Měsíc od"", pro konec období opět jen ""Rok do"" a ""Měsíc do"". Zdroj avíza - nechat zaškrtnuté všechny zdroje. Ostatní pole ponechat beze změny. Pro usnesení: Zdroj dat: Sestava. Název reportu : Usnesení z VR. Informace ke zpracování reportu: Při definici reportu je nutno označit ""Datum a čas zpracování záznamu"", zvolit začátek a konec časového období, ve volbě Stav zpracování zaškrtnout ""Zpracováno ručně"" a ostatní ponechat nezatrženo.(Usnesení sledována od roku 2019 včetně)"
18,D18.3.10,Počet odeslaných podání z JRF,"Za období sledovaného roku. Zdroj dat: Statistika. Název reportu: Dokumenty dle referentů. Informace ke zpracování reportu: Při definici reportu je nutno zvolit časové období (pole Datum od a Datum do). U výsledné sestavy sečíst od všech referentů položky ""JRF - odeslaná podání"". Sledováno od roku 2015. V předcházejících obdobích byly doplněny nulové hodnoty."
18,D18.4,Celkem správní poplatky v tis. Kč,"Za období sledovaného roku. Zdroj dat: Statistika. Název reportu: Správní poplatky. Informace ke zpracování reportu: U výsledné sestavy součet hodnot sloupce „Výše“. Při definici reportu je nutno zvolit časové období (pole Datum od a Datum do). U pole ""Datum"" vyberte ""založení podnětu/přijetí žádosti o výpis""."
