code,name,agenda,kind,unit
D10.3.3,Počet přestupků vyřízených příkazem dle zákona 56/2001 Sb.,10,dkod,
D10.3.4,Počet přestupků vyřízených rozhodnutím dle zákona 56/2001 Sb.,10,dkod,
D10.3.5,Počet odložených přestupků dle zákona 56/2001 Sb.,10,dkod,
D10.4,"Celkový počet odvolání dle zákonů 361/2000Sb., 168/199 sb. a 56/2001 Sb.",10,dkod,
D10.5,"Objem uložených pokut včetně nákladů řízení a uhrazených určených částek na základě výzvy dle zákonů 361/2000 Sb., 168/1999 Sb. a 56/2001 Sb. v tis. Kč.",10,dkod,
D10.6,"Počet zaměstnanců - pracovních úvazků celkem; SOUČET ZA PŘESTUPKY dle zákonů 361/2000 Sb., 168/1999 Sb. a 56/2001 Sb.",10,dkod,
D10.6.1,"z toho počet zaměstnanců - pracovních úvazků zaměstnanců, kteří zpracovávají přestupky dle §125f, odst. 2, písm. a) zákona 361/2000 Sb.",10,dkod,
D11.1,Počet vydaných rozhodnutí,11,dkod,
D11.4,Státní dozor dle zákona o pozemních komunikacích,11,dkod,
D11.5,Počet stanovení dopravního značení,11,dkod,
D11.7,Počet sledovaných úkonů celkem,11,dkod,
D11.8,Počet zaměstnanců - pracovních úvazků v agendě silniční správní úřad celkem,11,dkod,
D12.8,Počet sledovaných úkonů MHD a drážního úřadu,12,dkod,
D12.18,Počet sledovaných úkonů TAXI,12,dkod,
D12.25,Počet sledovaných úkonů měření emisí,12,dkod,
D12.26,Počet sledovaných úkonů celkem,12,dkod,
D12.27,Počet zaměstnanců - pracovních úvazků v agendě dopravní úřad celkem,12,dkod,
D14.1,ÚPD řešené ve sledovaném roce - město,14,dkod,
D14.2,Změny ÚPD řešené ve sledovaném roce - město,14,dkod,
D14.4,Celkem řešených ÚPD a změn ÚPD ve sledovaném roce - město,14,dkod,
D14.5,ÚPD řešené ve sledovaném roce - na žádost obcí správního území ORP,14,dkod,
D14.6,Změny ÚPD řešené ve sledovaném roce - na žádost obcí správního území ORP,14,dkod,
D14.8,Celkem řešených ÚPD a změn ÚPD ve sledovaném roce - na žádost obcí správního území,14,dkod,
D14.9,Celkem řešených ÚPD a změn ÚPD ve sledovaném roce - město a obce správního území ORP,14,dkod,
D14.11,Počet pořizovaných územních studií ve sledovaném roce - město,14,dkod,
D14.12,Počet pořizovaných územních studií ve sledovaném roce - obce správního území,14,dkod,
D14.13,Podíl úřadu územního plánování na zpracování ÚAP (%),14,dkod,
D14.14,Počet zpracovávaných Zpráv o uplatňování ÚP ve sledovaném roce,14,dkod,
D14.14.1,Počet sledovaných ÚPI,14,dkod,
D14.14.2,Počet vydaných závazných stanovisek,14,dkod,
D14.14.3,"Počet vyjádření, sdělení",14,dkod,
D14.15,Počet podaných přezkumů a správních žalob proti ÚPD ve sledovaném roce,14,dkod,
D14.16,Počet zaměstnanců - pracovních úvazků v agendě územní plánování celkem (BEZ úvazků pro ÚAP),14,dkod,
D14.16.1,Počet zaměstnanců - úvazky pro ÚAP,14,dkod,
D15.1,Počet rozhodnutí,15,dkod,
D15.3,Celkem sledovaných úkonů,15,dkod,
D15.4,Počet nemovitých kulturních památek ve správním obvodu obce s rozšířenou působností,15,dkod,
D15.5,Počet movitých kulturních památek ve správním obvodu obce s rozšířenou působností,15,dkod,
D15.6,Počet žádostí o finanční podporu na obnovu kulturních památek,15,dkod,
D15.7,Počet uspokojených žádostí,15,dkod,
D15.8,"Počet památk. zón, rezervací, ochranných pásem správ. obvodu obce s rozšířenou působností",15,dkod,
D15.9,Počet zaměstnanců - pracovních úvazků v agendě památková péče celkem,15,dkod,
D16.1,"Povolení záměru, změny záměru před dokončením, prodloužení doby trvání stavby",16,dkod,
D16.1.1,Povolení ve věcech dopravních staveb nebo zařízení (v celém obvodu ORP),16,dkod,
D16.1.2,Povolení ve věcech vodního díla - jednoduché stavby (v celém obvodu ORP),16,dkod,
D16.1.3,Povolení ve věcech vodního díla - ostatní stavby (v celém obvodu ORP),16,dkod,
D16.1.4,Povolení výjimky,16,dkod,
D16.2,Užívání stavby - počet vydaných rozhodnutí,16,dkod,
D16.2.1,Kolaudace,16,dkod,
D16.2.2,Předčasné užívání,16,dkod,
D16.2.3,Zkušební provoz,16,dkod,
D16.2.4,Změna v užívání,16,dkod,
D16.3,Pasport stavby,16,dkod,
D16.4,Odstraňování staveb - počet vydaných rozhodnutí,16,dkod,
D16.4.1,Povolení odstranění,16,dkod,
D16.4.2,Nařízení odstranění,16,dkod,
D16.4.3,Dodatečné povolení,16,dkod,
D16.5,Jiná řízení a opatření - počet vydaných rozhodnutí,16,dkod,
D16.6,"Procesní ""rozhodnutí""",16,dkod,
D16.7,Vyjádření,16,dkod,
D16.8,Předběžná informace,16,dkod,
D16.9,Kontrolní prohlídky a kontrola dle kontrolního řádu,16,dkod,
D16.10,Počet projednaných přestupků,16,dkod,
D16.11,Vyvlastnění - rozhodnutí,16,dkod,
D16.12,Odvolání - celkový počet rozhodnutí o odvolání,16,dkod,
D16.12.2,Počet zrušených rozhodnutí,16,dkod,
D16.13,Celkový počet vydaných rozhodnutí ve věci,16,dkod,
D16.15,"Počet žádostí o informace dle zákona č. 106/1999 Sb., o svobodném přístupu k informacím",16,dkod,
D16.16.1,Počet zaměstnanců - pracovních úvazků v agendě obecní stavební úřad celkem,16,dkod,
D16.16.2,Počet reálně obsazených pracovních úvazků v agendě obecní stavební úřad celkem v daném roce.,16,dkod,
